,crashed
alarm_id,0.23296923529592925
hostname,-0.48127966679325834
created_at,0.23296923529592925
fault_description,8.08171360645626e-17
file_name,0.23296923529592925
impact,-0.4812796667932585
remediation,-0.48127966679325834
syslog_msg,-0.4608194644914447
prod_obj_id_fk,0.5450457022868392
managed_ne_id,-0.4812796667932585
product_id,-0.5450457022868391
serial_number,-0.4812796667932585
usecase_id,0.5450457022868392
signature_uuid,8.08171360645626e-17
primekey,0.23696007171161598
i_d,0.23696007171161598
cpy_key,-0.34977829123034615
device_id,0.21221688798345903
device_type,-0.2584837753976487
features,-0.37722047651911417
fingerprint,-0.10532355506208228
hw,-0.3765010858031829
last_reset,0.04321553545356994
product_family,-0.5450457022868391
reset_reason,-0.7984304207914686
sw,-0.10233972115429586
sw_version,-0.11736502533065689
crashed,1.0
